"N","Time","avg(f)","max(f)","med(f)","min(f)"
1,32.144,140.79,140.79,140.79,140.79
1,32.193,139.96,139.96,139.96,139.96
1,32.242,139.21,139.21,139.21,139.21
1,32.291,138.52,138.52,138.52,138.52
1,32.34,137.9,137.9,137.9,137.9
1,32.389,138.49,138.49,138.49,138.49
1,32.438,137.91,137.91,137.91,137.91
1,32.487,137.38,137.38,137.38,137.38
1,32.536,146.81,146.81,146.81,146.81
1,32.585,145.29,145.29,145.29,145.29
1,32.634,143.93,143.93,143.93,143.93
1,32.683,142.73,142.73,142.73,142.73
1,32.732,141.66,141.66,141.66,141.66
1,32.781,141.82,141.82,141.82,141.82
1,32.83,140.85,140.85,140.85,140.85
1,32.879,139.99,139.99,139.99,139.99
1,32.928,141.01,141.01,141.01,141.01
1,32.977,140.22,140.22,140.22,140.22
1,33.026,139.5,139.5,139.5,139.5
1,33.075,138.84,138.84,138.84,138.84
1,33.124,138.24,138.24,138.24,138.24
1,33.173,137.19,137.19,137.19,137.19
1,33.222,136.77,136.77,136.77,136.77
1,33.271,136.37,136.37,136.37,136.37
1,33.32,137.09,137.09,137.09,137.09
1,33.369,136.64,136.64,136.64,136.64
1,33.418,136.23,136.23,136.23,136.23
1,33.467,135.86,135.86,135.86,135.86
1,33.516,135.51,135.51,135.51,135.51
1,33.565,144.56,144.56,144.56,144.56
1,33.614,143.26,143.26,143.26,143.26
1,33.663,142.11,142.11,142.11,142.11
1,33.712,140.68,140.68,140.68,140.68
1,33.761,139.83,139.83,139.83,139.83
1,33.81,139.07,139.07,139.07,139.07
1,33.859,138.38,138.38,138.38,138.38
1,33.908,137.77,137.77,137.77,137.77
1,33.957,138.66,138.66,138.66,138.66
1,34.006,138.11,138.11,138.11,138.11
1,34.055,137.61,137.61,137.61,137.61
1,34.104,140.87,140.87,140.87,140.87
1,34.153,140.11,140.11,140.11,140.11
1,34.202,139.42,139.42,139.42,139.42
1,34.251,138.8,138.8,138.8,138.8
1,34.3,138.24,138.24,138.24,138.24
1,34.349,147.48,147.48,147.48,147.48
1,34.398,145.98,145.98,145.98,145.98
1,34.447,144.65,144.65,144.65,144.65
1,34.496,143.28,143.28,143.28,143.28
1,34.545,142.25,142.25,142.25,142.25
1,34.594,141.33,141.33,141.33,141.33
1,34.643,140.51,140.51,140.51,140.51
1,34.692,139.77,139.77,139.77,139.77
1,34.741,140.04,140.04,140.04,140.04
1,34.79,139.38,139.38,139.38,139.38
1,34.839,138.78,138.78,138.78,138.78
1,34.888,138.24,138.24,138.24,138.24
1,34.937,137.73,137.73,137.73,137.73
1,34.986,137.29,137.29,137.29,137.29
1,35.035,136.86,136.86,136.86,136.86
1,35.084,136.46,136.46,136.46,136.46
1,35.133,139.11,139.11,139.11,139.11
1,35.182,138.45,138.45,138.45,138.45
1,35.231,137.86,137.86,137.86,137.86
1,35.28,137.32,137.32,137.32,137.32
1,35.329,136.84,136.84,136.84,136.84
1,35.378,136.24,136.24,136.24,136.24
1,35.427,135.86,135.86,135.86,135.86
1,35.476,135.51,135.51,135.51,135.51
1,35.525,141.35,141.35,141.35,141.35
1,35.574,140.48,140.48,140.48,140.48
1,35.623,139.7,139.7,139.7,139.7
1,35.672,139,139,139,139
1,35.721,138.36,138.36,138.36,138.36
1,35.77,138.67,138.67,138.67,138.67
1,35.819,138.13,138.13,138.13,138.13
1,35.868,137.64,137.64,137.64,137.64
1,35.917,144.59,144.59,144.59,144.59
1,35.966,143.42,143.42,143.42,143.42
1,36.015,142.38,142.38,142.38,142.38
1,36.064,141.45,141.45,141.45,141.45
1,36.113,140.62,140.62,140.62,140.62
1,36.162,139.71,139.71,139.71,139.71
1,36.211,139.07,139.07,139.07,139.07
1,36.26,138.48,138.48,138.48,138.48
1,36.309,143.81,143.81,143.81,143.81
1,36.358,142.79,142.79,142.79,142.79
1,36.407,141.88,141.88,141.88,141.88
1,36.456,141.06,141.06,141.06,141.06
1,36.505,140.32,140.32,140.32,140.32
1,36.554,140.57,140.57,140.57,140.57
1,36.603,139.92,139.92,139.92,139.92
1,36.652,139.33,139.33,139.33,139.33
1,36.701,138.48,138.48,138.48,138.48
1,36.75,138.04,138.04,138.04,138.04
1,36.799,137.64,137.64,137.64,137.64
1,36.848,137.26,137.26,137.26,137.26
1,36.897,136.92,136.92,136.92,136.92
1,36.946,143.63,143.63,143.63,143.63
1,36.995,142.6,142.6,142.6,142.6
1,37.044,141.69,141.69,141.69,141.69
1,37.093,141.75,141.75,141.75,141.75
1,37.142,140.99,140.99,140.99,140.99
1,37.191,140.3,140.3,140.3,140.3
1,37.24,139.68,139.68,139.68,139.68
1,37.289,139.12,139.12,139.12,139.12
1,37.338,143.9,143.9,143.9,143.9
1,37.387,142.96,142.96,142.96,142.96
1,37.436,142.1,142.1,142.1,142.1
1,37.485,142.07,142.07,142.07,142.07
1,37.534,141.32,141.32,141.32,141.32
1,37.583,140.65,140.65,140.65,140.65
1,37.632,140.05,140.05,140.05,140.05
1,37.681,139.5,139.5,139.5,139.5
1,37.73,145.67,145.67,145.67,145.67
1,37.779,144.52,144.52,144.52,144.52
1,37.828,143.51,143.51,143.51,143.51
1,37.877,143.44,143.44,143.44,143.44
1,37.926,142.58,142.58,142.58,142.58
1,37.975,141.81,141.81,141.81,141.81
1,38.024,141.11,141.11,141.11,141.11
1,38.073,140.49,140.49,140.49,140.49
1,38.122,144.93,144.93,144.93,144.93
1,38.171,143.95,143.95,143.95,143.95
1,38.22,143.08,143.08,143.08,143.08
1,38.269,142.29,142.29,142.29,142.29
1,38.318,141.57,141.57,141.57,141.57
1,38.367,140.92,140.92,140.92,140.92
1,38.416,140.33,140.33,140.33,140.33
1,38.465,139.79,139.79,139.79,139.79
1,38.514,140.73,140.73,140.73,140.73
1,38.563,140.13,140.13,140.13,140.13
1,38.612,139.58,139.58,139.58,139.58
1,38.661,139.08,139.08,139.08,139.08
1,38.71,138.63,138.63,138.63,138.63
1,38.759,138.15,138.15,138.15,138.15
1,38.808,137.77,137.77,137.77,137.77
1,38.857,137.42,137.42,137.42,137.42
1,38.906,145.23,145.23,145.23,145.23
1,38.955,144.1,144.1,144.1,144.1
1,39.004,143.1,143.1,143.1,143.1
1,39.053,142.21,142.21,142.21,142.21
1,39.102,141.41,141.41,141.41,141.41
1,39.151,143.15,143.15,143.15,143.15
1,39.2,142.29,142.29,142.29,142.29
1,39.249,141.52,141.52,141.52,141.52
1,39.298,142.89,142.89,142.89,142.89
1,39.347,142.07,142.07,142.07,142.07
1,39.396,141.34,141.34,141.34,141.34
1,39.445,140.68,140.68,140.68,140.68
1,39.494,140.09,140.09,140.09,140.09
1,39.543,139.35,139.35,139.35,139.35
1,39.592,138.88,138.88,138.88,138.88
1,39.641,138.45,138.45,138.45,138.45
1,39.69,144.01,144.01,144.01,144.01
1,39.739,143.08,143.08,143.08,143.08
1,39.788,142.24,142.24,142.24,142.24
1,39.837,141.49,141.49,141.49,141.49
1,39.886,140.81,140.81,140.81,140.81
1,39.935,140.54,140.54,140.54,140.54
1,39.984,139.98,139.98,139.98,139.98
1,40.033,139.47,139.47,139.47,139.47
1,40.082,139.23,139.23,139.23,139.23
1,40.131,138.79,138.79,138.79,138.79
1,40.18,138.4,138.4,138.4,138.4
1,40.229,138.03,138.03,138.03,138.03
1,40.278,137.7,137.7,137.7,137.7
1,40.327,138.46,138.46,138.46,138.46
1,40.376,138.06,138.06,138.06,138.06
1,40.425,137.7,137.7,137.7,137.7
1,40.474,137.72,137.72,137.72,137.72
1,40.523,137.4,137.4,137.4,137.4
1,40.572,137.1,137.1,137.1,137.1
1,40.621,136.83,136.83,136.83,136.83
1,40.67,136.57,136.57,136.57,136.57
1,40.719,140.89,140.89,140.89,140.89
1,40.768,140.23,140.23,140.23,140.23
1,40.817,139.64,139.64,139.64,139.64
1,40.866,138.84,138.84,138.84,138.84
1,40.915,138.41,138.41,138.41,138.41
1,40.964,138.02,138.02,138.02,138.02
1,41.013,137.67,137.67,137.67,137.67
1,41.062,137.34,137.34,137.34,137.34
1,41.111,139,139,139,139
1,41.16,138.54,138.54,138.54,138.54
1,41.209,138.13,138.13,138.13,138.13
1,41.258,138.35,138.35,138.35,138.35
1,41.307,137.97,137.97,137.97,137.97
1,41.356,137.63,137.63,137.63,137.63
1,41.405,137.31,137.31,137.31,137.31
1,41.454,137.02,137.02,137.02,137.02
1,41.503,140.29,140.29,140.29,140.29
1,41.552,139.71,139.71,139.71,139.71
1,41.601,139.19,139.19,139.19,139.19
1,41.65,138.69,138.69,138.69,138.69
1,41.699,138.27,138.27,138.27,138.27
1,41.748,137.88,137.88,137.88,137.88
1,41.797,137.52,137.52,137.52,137.52
1,41.846,137.19,137.19,137.19,137.19
1,41.895,136.67,136.67,136.67,136.67
1,41.944,136.43,136.43,136.43,136.43
1,41.993,136.2,136.2,136.2,136.2
1,42.042,135.99,135.99,135.99,135.99
1,42.091,135.79,135.79,135.79,135.79
1,42.14,135.57,135.57,135.57,135.57
1,42.189,135.4,135.4,135.4,135.4
1,42.238,135.24,135.24,135.24,135.24
1,42.287,139.19,139.19,139.19,139.19
1,42.336,138.59,138.59,138.59,138.59
1,42.385,138.05,138.05,138.05,138.05
1,42.434,137.58,137.58,137.58,137.58
1,42.483,137.14,137.14,137.14,137.14
1,42.532,137.17,137.17,137.17,137.17
1,42.581,136.79,136.79,136.79,136.79
1,42.63,136.45,136.45,136.45,136.45
1,42.679,136.78,136.78,136.78,136.78
1,42.728,136.47,136.47,136.47,136.47
1,42.777,136.19,136.19,136.19,136.19
1,42.826,135.93,135.93,135.93,135.93
1,42.875,135.69,135.69,135.69,135.69
1,42.924,135.87,135.87,135.87,135.87
1,42.973,135.64,135.64,135.64,135.64
1,43.022,135.43,135.43,135.43,135.43
1,43.071,139.2,139.2,139.2,139.2
1,43.12,138.59,138.59,138.59,138.59
1,43.169,138.06,138.06,138.06,138.06
1,43.218,137.58,137.58,137.58,137.58
1,43.267,137.15,137.15,137.15,137.15
1,43.316,136.68,136.68,136.68,136.68
1,43.365,136.35,136.35,136.35,136.35
1,43.414,136.04,136.04,136.04,136.04
1,43.463,136.39,136.39,136.39,136.39
1,43.512,136.11,136.11,136.11,136.11
1,43.561,135.84,135.84,135.84,135.84
1,43.61,135.61,135.61,135.61,135.61
1,43.659,135.38,135.38,135.38,135.38
1,43.708,134.99,134.99,134.99,134.99
1,43.757,134.83,134.83,134.83,134.83
1,43.806,134.68,134.68,134.68,134.68
1,43.855,134.88,134.88,134.88,134.88
1,43.904,134.72,134.72,134.72,134.72
1,43.953,134.56,134.56,134.56,134.56
1,44.002,134.42,134.42,134.42,134.42
1,44.051,134.29,134.29,134.29,134.29
1,44.1,137.45,137.45,137.45,137.45
1,44.149,136.98,136.98,136.98,136.98
1,44.198,136.57,136.57,136.57,136.57
1,44.247,136.07,136.07,136.07,136.07
1,44.296,135.75,135.75,135.75,135.75
1,44.345,135.47,135.47,135.47,135.47
1,44.394,135.21,135.21,135.21,135.21
1,44.443,134.98,134.98,134.98,134.98
1,44.492,135.72,135.72,135.72,135.72
1,44.541,135.44,135.44,135.44,135.44
1,44.59,135.18,135.18,135.18,135.18
1,44.639,136.06,136.06,136.06,136.06
1,44.688,135.75,135.75,135.75,135.75
1,44.737,135.47,135.47,135.47,135.47
1,44.786,135.22,135.22,135.22,135.22
1,44.835,134.99,134.99,134.99,134.99
1,44.884,137.79,137.79,137.79,137.79
1,44.933,137.29,137.29,137.29,137.29
1,44.982,136.84,136.84,136.84,136.84
1,45.031,136.38,136.38,136.38,136.38
1,45.08,136.03,136.03,136.03,136.03
1,45.129,135.71,135.71,135.71,135.71
1,45.178,135.42,135.42,135.42,135.42
1,45.227,135.16,135.16,135.16,135.16
1,45.276,135.17,135.17,135.17,135.17
1,45.325,134.94,134.94,134.94,134.94
1,45.374,134.73,134.73,134.73,134.73
1,45.423,134.53,134.53,134.53,134.53
1,45.472,134.35,134.35,134.35,134.35
1,45.521,134.18,134.18,134.18,134.18
1,45.57,134.02,134.02,134.02,134.02
1,45.619,133.88,133.88,133.88,133.88
1,45.668,135.73,135.73,135.73,135.73
1,45.717,135.4,135.4,135.4,135.4
1,45.766,135.09,135.09,135.09,135.09
1,45.815,134.82,134.82,134.82,134.82
1,45.864,134.57,134.57,134.57,134.57
1,45.913,134.31,134.31,134.31,134.31
1,45.962,134.11,134.11,134.11,134.11
1,46.011,133.93,133.93,133.93,133.93
1,46.06,135.14,135.14,135.14,135.14
1,46.109,134.86,134.86,134.86,134.86
1,46.158,134.61,134.61,134.61,134.61
1,46.207,134.37,134.37,134.37,134.37
1,46.256,134.16,134.16,134.16,134.16
1,46.305,134.15,134.15,134.15,134.15
1,46.354,133.97,133.97,133.97,133.97
1,46.403,133.81,133.81,133.81,133.81
1,46.452,135.2,135.2,135.2,135.2
1,46.501,134.9,134.9,134.9,134.9
1,46.55,134.62,134.62,134.62,134.62
1,46.599,134.37,134.37,134.37,134.37
1,46.648,134.14,134.14,134.14,134.14
1,46.697,133.92,133.92,133.92,133.92
1,46.746,133.73,133.73,133.73,133.73
1,46.795,133.56,133.56,133.56,133.56
1,46.844,134.43,134.43,134.43,134.43
1,46.893,134.19,134.19,134.19,134.19
1,46.942,133.98,133.98,133.98,133.98
1,46.991,133.78,133.78,133.78,133.78
1,47.04,133.59,133.59,133.59,133.59
1,47.089,133.58,133.58,133.58,133.58
1,47.138,133.41,133.41,133.41,133.41
1,47.187,133.26,133.26,133.26,133.26
1,47.236,133.1,133.1,133.1,133.1
1,47.285,132.97,132.97,132.97,132.97
1,47.334,132.85,132.85,132.85,132.85
1,47.383,132.74,132.74,132.74,132.74
1,47.432,132.64,132.64,132.64,132.64
1,47.481,133.51,133.51,133.51,133.51
1,47.53,133.31,133.31,133.31,133.31
1,47.579,133.13,133.13,133.13,133.13
1,47.628,133.07,133.07,133.07,133.07
1,47.677,132.92,132.92,132.92,132.92
1,47.726,132.78,132.78,132.78,132.78
1,47.775,132.65,132.65,132.65,132.65
1,47.824,132.53,132.53,132.53,132.53
1,47.873,132.96,132.96,132.96,132.96
1,47.922,132.8,132.8,132.8,132.8
1,47.971,132.66,132.66,132.66,132.66
1,48.02,132.6,132.6,132.6,132.6
1,48.069,132.47,132.47,132.47,132.47
1,48.118,132.35,132.35,132.35,132.35
1,48.167,132.24,132.24,132.24,132.24
1,48.216,132.14,132.14,132.14,132.14
1,48.265,132.56,132.56,132.56,132.56
1,48.314,132.41,132.41,132.41,132.41
1,48.363,132.28,132.28,132.28,132.28
1,48.412,132.21,132.21,132.21,132.21
1,48.461,132.09,132.09,132.09,132.09
1,48.51,131.98,131.98,131.98,131.98
1,48.559,131.88,131.88,131.88,131.88
1,48.608,131.78,131.78,131.78,131.78
1,48.657,131.78,131.78,131.78,131.78
1,48.706,131.69,131.69,131.69,131.69
1,48.755,131.6,131.6,131.6,131.6
1,48.804,131.52,131.52,131.52,131.52
1,48.853,131.45,131.45,131.45,131.45
1,48.902,131.37,131.37,131.37,131.37
1,48.951,131.3,131.3,131.3,131.3
1,49,131.24,131.24,131.24,131.24
